,delta_t,batch_lengths,avg_return,actor_losses,critic_losses
0,1680305849.7685862,11639,-10.193300957435817,100.88877868652344,12035.96484375
1,1680305882.200762,11602,-10.094314090574017,100.03269958496094,11849.7109375
2,1680305914.3459344,11211,-10.422155966658153,103.48033142089844,12779.4970703125
3,1680305946.4871252,11982,-9.922230877710884,93.23897552490234,10515.576171875
4,1680305980.03027,11915,-10.0563896504128,96.19425964355469,11157.61328125
5,1680306011.1019776,11871,-10.078667260052253,96.35968780517578,11541.4384765625
6,1680306042.339374,11740,-10.139098050765616,98.17007446289062,11624.36328125
7,1680306073.2667391,11889,-9.963097293155139,93.72704315185547,10679.0478515625
8,1680306104.2893865,12275,-9.890494027916127,92.0020980834961,10276.8974609375
9,1680306135.48925,12197,-9.970982070394085,94.54962158203125,10976.546875
10,1680306166.393728,11887,-10.043010320487666,96.71862030029297,11499.40625
11,1680306197.1870139,12356,-9.874530575024554,92.63604736328125,10439.341796875
12,1680306228.977812,12839,-9.700452718101985,87.53304290771484,9428.4404296875
13,1680306260.876936,12898,-9.646265754236191,85.39611053466797,9115.6884765625
14,1680306292.3250897,12583,-9.643300230634782,88.31021881103516,9892.52734375
15,1680306323.6744905,12929,-9.680399692238854,85.20021057128906,8922.9697265625
16,1680306355.0852976,12761,-9.673447699037165,86.41402435302734,9382.06640625
17,1680306386.5593996,13046,-9.513303777812917,83.60633850097656,9075.4912109375
18,1680306417.7184412,13158,-9.509143421622857,81.53282928466797,8673.0224609375
19,1680306448.7294016,13139,-9.594775464033038,82.78959655761719,8624.1806640625
20,1680306480.1761205,13608,-9.44824608949539,79.87709045410156,8434.904296875
21,1680306511.6470497,13537,-9.387623845657489,81.078857421875,8560.544921875
22,1680306543.4603004,13849,-9.313062221597166,77.96456146240234,7910.57275390625
23,1680306575.1850076,14224,-9.093597869809475,73.36219024658203,7246.8662109375
24,1680306607.0993483,14225,-9.155638219143908,74.8646011352539,7413.7353515625
25,1680306638.990891,15049,-8.904515709748244,69.28775787353516,6465.02783203125
26,1680306671.3582418,15062,-8.851164938875481,67.96112060546875,6418.95947265625
27,1680306703.7815554,15059,-8.860947813960756,67.88506317138672,6287.13037109375
28,1680306736.370084,15869,-8.687062184111614,63.93743896484375,5721.3310546875
29,1680306768.8921118,15784,-8.604597572847078,63.52894973754883,5634.22705078125
30,1680306801.630883,16065,-8.592708206617473,62.80194091796875,5534.33642578125
31,1680306833.7398403,16065,-8.551703756660444,61.788475036621094,5480.82421875
32,1680306866.3002355,16456,-8.485884599319553,61.14498519897461,5393.48095703125
33,1680306899.2405071,17372,-8.299581489468876,56.49698257446289,4708.0185546875
34,1680306931.8059795,17528,-8.17221149635638,54.60322570800781,4453.11962890625
35,1680306964.529074,17462,-8.246418828389386,54.53541946411133,4451.15869140625
36,1680306997.445276,18004,-8.20342491532481,52.77776336669922,4188.61083984375
37,1680307030.504958,18315,-8.060145080522023,50.05935287475586,3849.742431640625
38,1680307063.578196,18369,-8.09680961258902,51.52027130126953,4188.46533203125
39,1680307096.4728098,18693,-7.9503738967945345,48.857887268066406,3720.941162109375
40,1680307129.6279306,19069,-7.88015760957058,46.55061721801758,3432.10595703125
41,1680307162.8986723,19212,-7.89513317057086,47.67928695678711,3526.39501953125
42,1680307196.0388656,19375,-7.79028932727253,45.409278869628906,3396.6201171875
43,1680307229.1173708,19146,-7.873294510213447,47.821624755859375,3624.778076171875
44,1680307262.625682,19838,-7.7411857835546645,43.510501861572266,3090.21875
45,1680307296.0440009,19845,-7.707882802174106,44.15082931518555,3169.211181640625
46,1680307329.4796042,20568,-7.579309067731016,40.21985626220703,2719.7783203125
47,1680307362.67582,20375,-7.706320601241261,41.619354248046875,2934.43798828125
48,1680307396.0426803,20004,-7.757512135970758,43.15412902832031,3037.569580078125
49,1680307429.1916413,20217,-7.680786821141524,42.46512222290039,2976.34765625
50,1680307463.8369129,20205,-7.705957315337834,42.61385726928711,3010.729736328125
51,1680307497.2470484,20877,-7.6283857566716,39.857322692871094,2743.902587890625
52,1680307530.8400552,20991,-7.55247794980793,38.925575256347656,2664.197998046875
53,1680307564.521254,21091,-7.563494207246129,38.00319290161133,2545.58984375
54,1680307598.4368382,21018,-7.524839273230872,37.93109893798828,2586.733154296875
55,1680307632.1857588,20869,-7.510908926374044,39.68845748901367,2743.12060546875
56,1680307665.9201121,20861,-7.620750369662984,39.874881744384766,2763.81005859375
57,1680307699.3626578,21123,-7.613335186492678,38.45469284057617,2598.430419921875
58,1680307733.159834,21634,-7.432767747737604,36.81886672973633,2398.521728515625
59,1680307766.5366347,21289,-7.567771401514541,38.37161636352539,2531.677001953125
60,1680307800.1508853,21469,-7.451867507498231,37.56319046020508,2509.6748046875
